"name","Rank","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","appid","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price","Total_ratings","Proportion_ratings_pos","Proportion_ratings_neg"
"mass effect 2",1283,"PS3","2011","Role-Playing","Electronic Arts",0.78,0.47,0.03,0.2,1.48,24980,"2010-01-28",1,"BioWare","Electronic Arts","windows",0,"Single-player","RPG","RPG;Sci-fi;Story Rich",0,10675,542,1087,736,"1000000-2000000","19.99",11217,0.951680484978158,0.0483195150218418
"max payne",408,"PS2","2001","Shooter","Take-Two Interactive",1.99,1.05,0.05,0.22,3.31,12140,"2008-01-04",1,"Remedy Entertainment","Rockstar Games","windows",18,"Single-player","Action","Noir;Action;Classic",0,3926,435,316,316,"500000-1000000","5.99",4361,0.900252235725751,0.099747764274249
"max payne 2 the fall of max payne",3144,"XB","2003","Shooter","Take-Two Interactive",0.47,0.15,0,0.02,0.64,12150,"2008-01-04",1,"Remedy Entertainment","Rockstar Games","windows",18,"Single-player","Action","Noir;Action;Third-Person Shooter",0,2506,172,175,175,"500000-1000000","5.99",2678,0.935772964899178,0.0642270351008215
"max payne 3",910,"PS3","2012","Shooter","Take-Two Interactive",0.59,0.92,0.06,0.32,1.9,204100,"2012-05-31",1,"Rockstar Studios","Rockstar Games","windows",0,"Single-player;Multi-player;Steam Achievements;Partial Controller Support","Action","Action;Third-Person Shooter;Bullet Time",67,21581,4374,464,531,"1000000-2000000","14.99",25955,0.83147755731073,0.16852244268927
"mcdroid",9807,"Wii","2011","Strategy","Namco Bandai Games",0,0,0.12,0,0.12,252970,"2014-09-05",1,"Elefantopia","Elefantopia","windows;mac;linux",0,"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards","Action;Indie;Strategy","Strategy;Action;Indie",24,100,31,0,0,"0-20000","6.99",131,0.763358778625954,0.236641221374046
"mdk",7599,"PS","1997","Shooter","Interplay",0.11,0.08,0,0.01,0.2,38450,"2009-09-17",1,"Shiny Entertainment","Interplay Inc.","windows",0,"Single-player","Action","Action;Classic;Third-Person Shooter",0,138,45,0,0,"20000-50000","6.99",183,0.754098360655738,0.245901639344262
"mechanic escape",13567,"PS3","2012","Platform","D3Publisher",0,0,0.04,0,0.04,268240,"2014-04-15",1,"Slak Games","Plug In Digital","windows;mac",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards","Action;Adventure;Indie","Indie;Action;Adventure",33,656,99,283,310,"100000-200000","4.49",755,0.868874172185431,0.13112582781457
"medal of honor",4050,"PC","2010","Shooter","Electronic Arts",0.2,0.23,0,0.07,0.49,47790,"2010-10-12",1,"Electronic Arts","Electronic Arts","windows",0,"Single-player;Multi-player","Action","FPS;Action;Shooter",0,3209,1370,133,166,"1000000-2000000","14.99",4579,0.700808036689233,0.299191963310767
"medal of honor airborne",12831,"PC","2007","Shooter","Electronic Arts",0,0.04,0,0.01,0.05,24840,"2009-10-06",1,"EA Los Angeles","Electronic Arts","windows",0,"Single-player;Multi-player","Action","Action;World War II;FPS",0,1725,461,28,28,"200000-500000","9.99",2186,0.789112534309241,0.210887465690759
"men of valor",6664,"XB","2004","Shooter","Vivendi Games",0.19,0.05,0,0.01,0.25,411330,"2016-02-09",1,"2015","THQ Nordic","windows",0,"Single-player;Multi-player","Action","Action;FPS;War",0,157,71,0,0,"20000-50000","8.99",228,0.68859649122807,0.31140350877193
"men of war",14302,"PC","2009","Strategy","505 Games",0.01,0.02,0,0.01,0.03,7830,"2009-05-06",1,"Best Way","1C Entertainment;1C-SoftClub","windows",0,"Single-player;Multi-player;Steam Cloud;Includes level editor","Strategy","Strategy;World War II;RTS",0,1664,257,0,0,"200000-500000","3.99",1921,0.866215512753774,0.133784487246226
"men of war assault squad",13059,"PC","2011","Strategy","1C Company",0.01,0.03,0,0.01,0.05,64000,"2011-02-24",1,"Digitalmindsoft","1C Entertainment;1C-SoftClub","windows",0,"Single-player;Multi-player;Co-op;Steam Achievements;Steam Leaderboards;Includes level editor","Strategy","Strategy;World War II;Tactical",110,2881,416,292,365,"500000-1000000","7.19",3297,0.873824689111313,0.126175310888687
"men of war vietnam",13711,"PC","2011","Strategy","Unknown",0,0.03,0,0.01,0.04,63940,"2011-09-08",1,"1C Entertainment","1C Entertainment;1C-SoftClub","windows",0,"Single-player;Multi-player;Co-op;Steam Cloud;Includes level editor","Strategy","Strategy;RTS;Tactical",22,399,247,10,10,"100000-200000","5.59",646,0.617647058823529,0.382352941176471
"metal gear rising revengeance",1293,"PS3","2013","Action","Konami Digital Entertainment",0.45,0.4,0.44,0.18,1.47,235460,"2014-01-09",1,"PlatinumGames","Konami Digital Entertainment","windows",18,"Single-player;Steam Achievements;Full controller support;Steam Cloud","Action","Great Soundtrack;Action;Hack and Slash",60,13722,1157,863,870,"500000-1000000","19.99",14879,0.922239397808993,0.0777606021910075
"metal gear solid v ground zeroes",6120,"XOne","2014","Action","Konami Digital Entertainment",0.15,0.11,0,0.02,0.28,311340,"2014-12-18",1,"Kojima Productions","Konami Digital Entertainment","windows",18,"Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards","Action;Adventure","Stealth;Action;Short",16,7953,1692,320,198,"500000-1000000","16.99",9645,0.824572317262831,0.17542768273717
"metal gear solid v the phantom pain",396,"PS4","2015","Action","Konami Digital Entertainment",1.08,1.35,0.48,0.47,3.38,287700,"2015-09-01",1,"Konami Digital Entertainment","Konami Digital Entertainment","windows",18,"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Steam Leaderboards","Action;Adventure","Stealth;Open World;Story Rich",42,38643,4954,3007,2478,"1000000-2000000","24.99",43597,0.88636832809597,0.11363167190403
"metal slug 3",10447,"XB","2004","Shooter","Ignition Entertainment",0.08,0.02,0,0,0.1,250180,"2014-02-14",1,"SNK CORPORATION;DotEmu","SNK CORPORATION","windows",0,"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action","Arcade;Classic;Action",30,5229,553,212,242,"500000-1000000","5.99",5782,0.904358353510896,0.0956416464891041
"metal slug x",10980,"PS","2001","Shooter","Virgin Interactive",0.05,0.03,0,0.01,0.09,312610,"2014-10-02",1,"SNK CORPORATION;DotEmu","SNK CORPORATION","windows",0,"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action","Action;Arcade;Co-op",15,1544,164,533,570,"200000-500000","5.59",1708,0.903981264637002,0.0960187353629977
"metal slug xx",13800,"PSP","2009","Shooter","DHM Interactive",0.03,0,0,0,0.04,975680,"2019-01-31",1,"SNK CORPORATION","SNK CORPORATION","windows",0,"Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Steam Achievements;Full controller support","Action","Action;Retro;2D",34,70,69,0,0,"0-20000","15.49",139,0.503597122302158,0.496402877697842
"might & magic clash of heroes",7809,"DS","2009","Role-Playing","Ubisoft",0.16,0.02,0,0.01,0.19,61700,"2011-09-21",1,"Capybara Games","Ubisoft","windows",0,"Single-player;Multi-player;Co-op;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards","RPG;Strategy","Strategy;Puzzle;RPG",14,1293,157,1595,1595,"200000-500000","8.59",1450,0.891724137931034,0.108275862068966
"might & magic heroes vii",11214,"PC","2015","Strategy","Ubisoft",0,0.08,0,0,0.09,321960,"2015-09-29",1,"Limbic Entertainment","Ubisoft","windows",0,"Single-player;Multi-player;Steam Achievements;Steam Trading Cards","RPG;Strategy","Strategy;Turn-Based Strategy;RPG",33,1438,1665,0,0,"100000-200000","33.99",3103,0.463422494360296,0.536577505639704
"might & magic x legacy",14097,"PC","2014","Role-Playing","Ubisoft",0,0.03,0,0,0.04,238750,"2014-01-23",1,"Ubisoft","Ubisoft","windows;mac",0,"Single-player","RPG","RPG;Turn-Based;Fantasy",0,1571,780,274,274,"100000-200000","20.99",2351,0.668226286686516,0.331773713313484
"mighty no 9",15469,"WiiU","2016","Platform","Deep Silver",0.01,0.01,0,0,0.02,314710,"2016-06-23",1,"Comcept;Inti Creates","Deep Silver","windows;mac;linux",0,"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards","Action","Action;Platformer;Anime",70,1367,1389,28,28,"200000-500000","15.99",2756,0.496008708272859,0.503991291727141
"mind zero",8835,"PSV","2013","Role-Playing","GungHo",0.08,0,0.04,0.02,0.15,322630,"2016-03-08",1,"Acquire;Zerodiv","Aksys Games","windows",0,"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud","RPG","RPG;JRPG;Dungeon Crawler",36,31,32,0,0,"0-20000","14.99",63,0.492063492063492,0.507936507936508
"mini ninjas",5964,"X360","2009","Action","Eidos Interactive",0.12,0.14,0,0.03,0.29,35000,"2009-09-14",1,"IO Interactive","Square Enix","windows",0,"Single-player","Action;Adventure","Adventure;Action;Ninja",0,1612,270,27,53,"200000-500000","7.99",1882,0.85653560042508,0.14346439957492
"mirrors edge",1790,"PS3","2008","Platform","Electronic Arts",0.31,0.59,0.02,0.22,1.14,17410,"2009-01-14",1,"DICE","Electronic Arts","windows",0,"Single-player;Full controller support;Partial Controller Support","Action;Adventure","Parkour;First-Person;Action",0,17880,2341,260,172,"2000000-5000000","9.99",20221,0.884229266604026,0.115770733395974
"mission runway",11603,"DS","2008","Simulation","Eidos Interactive",0.07,0.01,0,0.01,0.08,12670,"2009-07-17",1,"Virtual Playground","ValuSoft;Retroism","windows",0,"Single-player","Simulation","Simulation;Casual",0,14,6,0,0,"0-20000","4.99",20,0.7,0.3
"mortal kombat x",13025,"PC","2015","Fighting","Warner Bros. Interactive Entertainment",0.01,0.04,0,0,0.05,307780,"2015-04-13",1,"NetherRealm Studios;QLOC","Warner Bros. Interactive Entertainment","windows",18,"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action","Fighting;Gore;Action",73,21484,7154,1030,446,"1000000-2000000","15.99",28638,0.750192052517634,0.249807947482366
"motorhead",14434,"PS","1998","Racing","Gremlin Interactive Ltd",0.02,0.01,0,0,0.03,393290,"2015-09-16",1,"Urbanscan","Console Classics","windows",0,"Single-player;Partial Controller Support","Racing","Racing",0,4,17,0,0,"0-20000","3.99",21,0.19047619047619,0.80952380952381
"mount & blade",15177,"PC","2008","Role-Playing","Paradox Interactive",0,0.02,0,0,0.02,22100,"2008-11-03",1,"TaleWorlds Entertainment","TaleWorlds Entertainment","windows",0,"Single-player;Steam Trading Cards;Includes level editor","Indie;RPG","RPG;Medieval;Open World",0,3205,291,415,597,"1000000-2000000","7.99",3496,0.916762013729977,0.0832379862700229
"mount & blade warband",15436,"PC","2010","Role-Playing","Paradox Interactive",0.01,0.01,0,0,0.02,48700,"2010-03-31",1,"TaleWorlds Entertainment","TaleWorlds Entertainment","windows;mac;linux",0,"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop","Action;RPG","Medieval;RPG;Open World",80,75872,2213,7932,1884,"2000000-5000000","14.99",78085,0.9716590894538,0.0283409105461997
"mugen souls",8658,"PS3","2012","Role-Playing","Nippon Ichi Software",0.04,0.03,0.08,0.01,0.16,389870,"2015-10-22",1,"Idea Factory","Ghostlight LTD","windows",0,"Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","Adventure;RPG;Strategy","RPG;JRPG;Adventure",51,171,74,0,0,"20000-50000","14.99",245,0.697959183673469,0.302040816326531
"mugen souls z",11840,"PS3","2013","Role-Playing","Nippon Ichi Software",0.02,0.01,0.04,0.01,0.07,466920,"2016-08-25",1,"Idea Factory","Ghostlight LTD","windows",0,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","Adventure;RPG;Strategy","RPG;Adventure;Strategy",50,53,14,0,0,"0-20000","14.99",67,0.791044776119403,0.208955223880597
"murdered soul suspect",8574,"XOne","2014","Action","Square Enix",0.08,0.07,0,0.01,0.16,233290,"2014-06-05",1,"Airtight Games","Square Enix","windows",16,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards","Action;Adventure;RPG","Detective;Adventure;Horror",48,8658,1647,282,343,"500000-1000000","19.99",10305,0.840174672489083,0.159825327510917
"mushihimesama",15512,"X360","2012","Action","Cave",0,0,0.02,0,0.02,377860,"2015-11-12",1,"CAVE Interactive CO.,LTD.","Degica","windows",0,"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action","Bullet Hell;Shoot 'Em Up;Arcade",50,790,20,82,82,"20000-50000","14.99",810,0.975308641975309,0.0246913580246914
"muvluv alternative",16483,"PS3","2012","Simulation","5pb",0,0,0.01,0,0.01,802890,"2018-02-28",1,"anchor Inc.","Sekai Project","windows",0,"Single-player;Steam Achievements;Steam Cloud","Sexual Content;Nudity;Violent;Gore;Adventure;Casual","Visual Novel;Violent;Anime",19,252,8,0,0,"0-20000","30.99",260,0.969230769230769,0.0307692307692308
"mx vs atv reflex",2286,"PS3","2009","Racing","THQ",0.52,0.26,0,0.12,0.91,55140,"2010-11-26",1,"Double Helix Games;Rainbow Studios;THQ Nordic","THQ Nordic","windows",0,"Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud","Racing","Racing;Offroad;Motocross",48,1599,359,1024,1024,"200000-500000","14.99",1958,0.816649642492339,0.183350357507661
"mx vs atv supercross encore",15730,"XOne","2015","Sports","Nordic Games",0.02,0,0,0,0.02,282050,"2015-10-27",1,"Rainbow Studios;THQ Nordic","THQ Nordic","windows",0,"Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards","Racing;Simulation;Sports","Racing;Sports;Motocross",29,282,280,0,0,"20000-50000","24.99",562,0.501779359430605,0.498220640569395
"mx vs atv unleashed",2015,"PS2","2005","Racing","THQ",0.86,0.03,0,0.14,1.03,359220,"2015-04-16",1,"Rainbow Studios","THQ Nordic","windows",0,"Single-player;Multi-player;Includes level editor","Racing;Simulation","Racing;Motocross;Simulation",0,181,88,0,0,"20000-50000","8.99",269,0.672862453531598,0.327137546468401
"myst iii exile",6251,"PS2","2002","Adventure","Ubisoft",0.14,0.11,0,0.04,0.28,925930,"2018-09-24",1,"Presto Studios","Cyan Worlds;Ubisoft","windows;mac",0,"Single-player","Adventure;Casual","Adventure;Casual;Puzzle",0,28,3,0,0,"0-20000","11.39",31,0.903225806451613,0.0967741935483871
"myst iv revelation",16594,"PC","2004","Adventure","Ubisoft",0.01,0,0,0,0.01,925940,"2018-09-24",1,"Ubisoft Montreal","Cyan Worlds;Ubisoft","windows;mac",0,"Single-player","Adventure;Casual","Adventure;Casual;Puzzle",0,12,7,0,0,"0-20000","11.39",19,0.631578947368421,0.368421052631579
"mystery case files ravenhearst",14270,"PC","2007","Puzzle","Focus Home Interactive",0.01,0.02,0,0.01,0.03,50990,"2010-04-21",1,"Big Fish Games","Big Fish Games","windows",0,"Single-player","Casual","Casual;Hidden Object",0,24,1,0,0,"0-20000","6.99",25,0.96,0.04
"n2o nitrous oxide",8524,"PS","1998","Racing","Gremlin Interactive Ltd",0.09,0.06,0,0.01,0.16,364840,"2015-06-29",1,"Urbanscan","Console Classics","windows",0,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support","Action;Racing","Action;Racing;Classic",10,24,3,0,0,"0-20000","3.99",27,0.888888888888889,0.111111111111111
"naild",9854,"PS3","2010","Racing","Deep Silver",0.08,0.02,0,0.02,0.12,40380,"2010-11-30",1,"Techland","Deep Silver","windows",0,"Single-player;Partial Controller Support","Racing","Racing;Offroad;Action",0,859,217,135,210,"100000-200000","3.99",1076,0.798327137546468,0.201672862453532
"nancy drew alibi in ashes",14285,"PC","2011","Adventure","Her Interactive",0.03,0,0,0,0.03,202670,"2011-11-02",1,"HeR Interactive","HeR Interactive","windows;mac",0,"Single-player","Adventure","Adventure;Point & Click;Mystery",0,42,7,0,0,"0-20000","5.19",49,0.857142857142857,0.142857142857143
"nancy drew the white wolf of icicle creek",8909,"Wii","2008","Adventure","Sega",0.14,0,0,0.01,0.15,31930,"2009-07-17",1,"HeR Interactive","HeR Interactive","windows",0,"Single-player","Adventure","Adventure;Point & Click;Mystery",0,27,9,0,0,"0-20000","5.19",36,0.75,0.25
"naruto shippuden ultimate ninja storm 2",2627,"X360","2010","Fighting","Namco Bandai Games",0.43,0.27,0.01,0.07,0.79,543870,"2017-08-25",1,"CyberConnect2 Co. Ltd.","BANDAI NAMCO Entertainment","windows",0,"Single-player;Local Multi-Player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards","Action;Adventure;Strategy","Action;Adventure;Anime",50,323,78,3,3,"20000-50000","14.99",401,0.805486284289277,0.194513715710723
"naruto shippuden ultimate ninja storm 4",6159,"XOne","2016","Fighting","Namco Bandai Games",0.19,0.06,0,0.03,0.28,349040,"2016-02-04",1,"CyberConnect2 Co. Ltd.","BANDAI NAMCO Entertainment","windows",0,"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards","Action;Adventure","Anime;Fighting;Action",53,17336,3456,767,635,"1000000-2000000","24.99",20792,0.833782223932282,0.166217776067718
"naruto shippuden ultimate ninja storm revolution",4165,"PS3","2014","Fighting","Namco Bandai Games",0.15,0.16,0.09,0.08,0.47,272510,"2014-09-15",1,"CyberConnect2 Co., Ltd.","BANDAI NAMCO Entertainment","windows",0,"Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards","Action;Adventure","Anime;Fighting;Ninja",50,4152,995,969,1434,"200000-500000","19.99",5147,0.806683504954342,0.193316495045658
"naruto ultimate ninja storm",1917,"PS3","2008","Fighting","Namco Bandai Games",0.49,0.35,0.09,0.16,1.08,495140,"2017-08-25",1,"CyberConnect2 Co. Ltd.","BANDAI NAMCO Entertainment","windows",0,"Single-player;Local Multi-Player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards","Action;Adventure","Action;Adventure;Anime",50,469,314,0,0,"100000-200000","14.99",783,0.598978288633461,0.401021711366539
"nba 2k17",12871,"X360","2016","Sports","Take-Two Interactive",0.04,0,0,0.01,0.05,385760,"2016-09-20",1,"Visual Concepts","2K","windows",0,"Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud","Sports","Basketball;Sports;Multiplayer",49,4353,3893,4672,4672,"500000-1000000","39.99",8246,0.527892311423721,0.472107688576279
"need for speed hot pursuit",5073,"PC","2010","Racing","Electronic Arts",0.12,0.2,0,0.06,0.38,47870,"2010-12-14",1,"Criterion Games","Electronic Arts","windows",0,"Single-player;Multi-player","Racing","Racing;Multiplayer;Open World",0,11405,2775,467,415,"1000000-2000000","14.99",14180,0.804301833568406,0.195698166431594
"need for speed shift",897,"X360","2009","Racing","Electronic Arts",0.73,0.97,0.01,0.22,1.92,24870,"2009-10-06",1,"Slightly Mad Studios","Electronic Arts","windows",0,"Single-player;Multi-player","Racing","Racing;Simulation;Multiplayer",0,1101,415,339,456,"200000-500000","9.99",1516,0.726253298153034,0.273746701846966
"need for speed undercover",3026,"Wii","2008","Racing","Electronic Arts",0.27,0.32,0,0.07,0.67,17430,"2008-12-19",1,"EA Black Box","Electronic Arts","windows",0,"Single-player;Multi-player;Partial Controller Support","Action;Racing","Racing;Open World;Multiplayer",0,2351,1081,916,1046,"200000-500000","9.99",3432,0.68502331002331,0.31497668997669
"nights into dreams",16036,"PS2","2008","Platform","Sega",0,0,0.01,0,0.01,219950,"2012-12-17",1,"SEGA","SEGA","windows",0,"Single-player;Steam Achievements;Partial Controller Support","Adventure","Adventure;Classic;Great Soundtrack",13,553,79,9,16,"200000-500000","5.59",632,0.875,0.125
"nights of azure",12731,"PS4","2015","Action","Tecmo Koei",0.03,0.02,0,0.01,0.06,527280,"2017-02-07",1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","windows",0,"Single-player;Steam Achievements;Partial Controller Support","RPG","Anime;RPG;JRPG",49,348,152,60,60,"20000-50000","24.99",500,0.696,0.304
"ninja blade",5443,"X360","2009","Action","Microsoft Game Studios",0.14,0.14,0.02,0.03,0.33,37010,"2009-11-19",1,"FromSoftware","ND Games;bitComposer Games","windows",0,"Single-player","Action","Action;Hack and Slash;Ninja",0,128,72,0,0,"20000-50000","6.99",200,0.64,0.36
"nitroplus blasterz heroines infinite duel",13678,"PS4","2015","Fighting","Marvelous Interactive",0.01,0,0.02,0,0.04,482450,"2016-12-08",1,"EXAMU","XSEED Games;Marvelous USA, Inc.;Marvelous","windows",0,"Single-player;Multi-player;Online Multi-Player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards","Action","Anime;Fighting;Action",51,375,46,198,198,"20000-50000","14.99",421,0.890736342042755,0.109263657957245
"no mans sky",1158,"PS4","2016","Action","Hello Games",0.58,0.74,0.02,0.26,1.6,275850,"2016-08-12",1,"Hello Games","Hello Games","windows",0,"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud","Action;Adventure","Open World;Space;Exploration",27,63444,56488,2004,1222,"1000000-2000000","39.99",119932,0.52899976653437,0.471000233465631
"nobunagas ambition sphere of influence",13781,"PS4","2014","Strategy","Tecmo Koei",0.03,0,0,0.01,0.04,392470,"2015-09-01",1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","windows",0,"Single-player;Steam Trading Cards;Steam Cloud","Strategy","Strategy;Historical;Grand Strategy",0,380,77,0,0,"20000-50000","49.99",457,0.831509846827133,0.168490153172867
"obscure",14037,"XB","2004","Adventure","MC2 Entertainment",0.03,0.01,0,0,0.04,254460,"2014-03-10",1,"Hydravision Entertainment","Mighty Rocket Studio","windows",0,"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud","Action;Adventure","Horror;Survival Horror;Action",19,685,55,0,0,"50000-100000","4.99",740,0.925675675675676,0.0743243243243243
"oddworld abes exoddus",2095,"PS","1998","Platform","GT Interactive",0.55,0.38,0,0.06,0.99,15710,"2008-08-28",1,"Oddworld Inhabitants","Oddworld Inhabitants","windows",0,"Single-player","Adventure","Adventure;Platformer;2D",0,806,48,67,67,"200000-500000","1.99",854,0.943793911007026,0.0562060889929742
"oddworld abes oddysee",1606,"PS","1997","Platform","GT Interactive",0.75,0.44,0,0.06,1.24,15700,"2008-08-28",1,"Oddworld Inhabitants","Oddworld Inhabitants","windows",0,"Single-player;Steam Trading Cards","Adventure","Adventure;Platformer;Classic",0,2739,442,387,217,"2000000-5000000","1.99",3181,0.861049984281672,0.138950015718328
"oddworld munchs oddysee",12569,"GBA","2003","Platform","THQ",0.04,0.02,0,0,0.06,15740,"2010-12-20",1,"Oddworld Inhabitants","Oddworld Inhabitants","windows",0,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support","Action;Adventure;Strategy","Adventure;Action;Strategy",38,437,155,3,3,"200000-500000","3.99",592,0.738175675675676,0.261824324324324
"offroad drive",13726,"PC","2011","Racing","1C Company",0,0.03,0,0.01,0.04,200230,"2011-09-29",1,"1C-Avalon","1C Entertainment","windows",0,"Single-player;Multi-player;Steam Cloud","Racing;Simulation","Simulation;Racing;Offroad",0,286,177,0,0,"50000-100000","3.99",463,0.617710583153348,0.382289416846652
"oil rush",15352,"PC","2012","Strategy","Iceberg Interactive",0,0.02,0,0,0.02,200390,"2012-01-25",1,"Unigine Corp.","Unigine Corp.","windows;mac;linux",0,"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards","Indie;Strategy","Strategy;Indie;RTS",40,173,170,9,9,"200000-500000","5.59",343,0.504373177842566,0.495626822157434
"omega quintet",14974,"PS4","2014","Role-Playing","Compile Heart",0,0,0.02,0,0.02,683280,"2017-12-15",1,"Idea Factory","Ghostlight LTD","windows",0,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","Adventure;RPG;Strategy","RPG;Adventure;Anime",55,80,21,0,0,"0-20000","23.79",101,0.792079207920792,0.207920792079208
"omerta city of gangsters",2863,"X360","2011","Simulation","Konami Digital Entertainment",0.42,0.23,0,0.06,0.71,208520,"2013-01-31",1,"Haemimont Games","Kalypso Media Digital","windows;mac",0,"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud","Simulation;Strategy","Strategy;Crime;Simulation",60,1029,632,209,281,"200000-500000","10.99",1661,0.619506321493076,0.380493678506924
"one piece burning blood",6126,"PS4","2016","Fighting","Namco Bandai Games",0.1,0.08,0.07,0.04,0.28,425220,"2016-09-01",1,"Spike Chunsoft Co., Ltd.","BANDAI NAMCO Entertainment","windows",0,"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards;Steam Turn Notifications","Action","Anime;Action;Fighting",50,1504,496,453,595,"100000-200000","39.99",2000,0.752,0.248
"one piece pirate warriors 3",7305,"PSV","2015","Action","Namco Bandai Games",0,0.07,0.13,0.02,0.22,331600,"2015-08-27",1,"KOEI TECMO GAMES CO., LTD.","BANDAI NAMCO Entertainment","windows",0,"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support","Action","Anime;Action;Adventure",40,4456,962,311,440,"200000-500000","31.99",5418,0.822443706164636,0.177556293835364
"onechanbara z2 chaos",6925,"PS4","2014","Action","Nippon Ichi Software",0.13,0.02,0.04,0.04,0.24,446390,"2016-06-02",1,"Tamsoft","D3 PUBLISHER","windows",16,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards","Action","Action;Nudity;Female Protagonist",44,384,119,0,0,"20000-50000","29.99",503,0.763419483101392,0.236580516898608
"operation flashpoint dragon rising",2221,"X360","2009","Shooter","Codemasters",0.36,0.45,0.02,0.1,0.93,12830,"2009-10-08",1,"Codemasters Studios","Codemasters","windows",0,"Single-player;Partial Controller Support","Action","Action;FPS;Tactical",0,1024,580,413,417,"500000-1000000","6.99",1604,0.638403990024938,0.361596009975062
"order of war",15252,"PC","2009","Strategy","Square Enix",0,0.01,0,0,0.02,34600,"2009-09-17",1,"Wargaming.net","Square Enix","windows",0,"Single-player","Strategy","Strategy;World War II;RTS",0,270,98,319,589,"200000-500000","5.99",368,0.733695652173913,0.266304347826087
"overlord",15147,"PC","2007","Strategy","Codemasters",0,0.02,0,0,0.02,11450,"2009-11-12",1,"Triumph Studios;Virtual Programming","Codemasters","windows;mac;linux",0,"Single-player;Partial Controller Support","RPG","RPG;Villain Protagonist;Third Person",0,3439,276,304,304,"1000000-2000000","3.49",3715,0.925706594885599,0.0742934051144011
"overlord ii",14217,"PC","2009","Action","Codemasters",0,0.03,0,0.01,0.03,12810,"2009-06-24",1,"Triumph Studios;Virtual Programming","Codemasters","windows;mac;linux",0,"Single-player","RPG","RPG;Villain Protagonist;Fantasy",0,2116,306,197,119,"1000000-2000000","6.99",2422,0.873658133773741,0.126341866226259
"overlord raising hell",9556,"PS3","2008","Action","Codemasters",0.07,0.04,0,0.02,0.13,12710,"2009-11-12",1,"Triumph Studios;Virtual Programming","Codemasters","windows;mac;linux",0,"Single-player;Partial Controller Support","RPG","RPG;Action;Villain Protagonist",0,946,75,446,256,"500000-1000000","6.99",1021,0.926542605288932,0.0734573947110676
