"name","Rank","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","appid","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price","Total_ratings","Proportion_ratings_pos","Proportion_ratings_neg"
"enemy front",13048,"X360","2014","Shooter","Namco Bandai Games",0.02,0.03,0,0,0.05,256190,"2014-06-10",1,"CI Games","CI Games","windows",0,"Single-player;Multi-player;Steam Achievements;Partial Controller Support","Action","Action;FPS;World War II",45,2213,1307,116,122,"200000-500000","15.99",3520,0.628693181818182,0.371306818181818
"escape dead island",11275,"PS3","2014","Action","Deep Silver",0.03,0.04,0,0.01,0.08,226560,"2014-11-20",1,"Fatshark","Deep Silver","windows",16,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards","Adventure","Zombies;Adventure;Survival",60,549,383,0,0,"50000-100000","10.99",932,0.589055793991416,0.410944206008584
"escape from monkey island",10468,"PS2","2001","Adventure","LucasArts",0.05,0.04,0,0.01,0.1,730830,"2018-11-16",1,"LucasArts","Lucasfilm;Disney Interactive","windows",0,"Single-player;Steam Cloud","Adventure","Adventure;Point & Click;Classic",0,37,19,66,66,"20000-50000","5.19",56,0.660714285714286,0.339285714285714
"escape the museum",7904,"DS","2010","Adventure","Astragon",0.05,0.12,0,0.02,0.19,298020,"2014-04-29",1,"Gogii Games","Strategy First","windows",0,"Single-player","Adventure","Adventure;Hidden Object;Point & Click",0,17,25,0,0,"0-20000","3.99",42,0.404761904761905,0.595238095238095
"euro truck simulator",3936,"PC","2008","Simulation","Rondomedia",0,0.42,0,0.09,0.51,232010,"2013-03-08",1,"SCS Software","SCS Software","windows;mac",0,"Single-player;Partial Controller Support","Indie;Simulation","Simulation;Driving;Multiplayer",0,3772,973,315,426,"1000000-2000000","3.99",4745,0.794942044257113,0.205057955742887
"euro truck simulator 2",9372,"PC","2012","Action","SCS Software",0,0.12,0,0.02,0.13,227300,"2012-10-12",1,"SCS Software","SCS Software","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor","Indie;Simulation","Simulation;Driving;Open World",67,176769,5825,4942,1413,"5000000-10000000","14.99",182594,0.968098623174913,0.0319013768250874
"europa universalis iii complete",14997,"PC","2008","Strategy","Paradox Interactive",0,0.02,0,0,0.02,25800,"2009-02-04",1,"Paradox Development Studio","Paradox Interactive","windows;mac",0,"Single-player;Multi-player;Steam Trading Cards","Strategy","Strategy;Grand Strategy;Historical",0,1191,245,736,1065,"200000-500000","9.99",1436,0.829387186629526,0.170612813370474
"eve online",7308,"PC","2003","Role-Playing","CCP",0,0.19,0,0.02,0.22,8500,"2010-12-15",1,"CCP","CCP","windows;mac",0,"Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards","Action;Free to Play;Massively Multiplayer;RPG;Strategy","Space;Massively Multiplayer;Sci-fi",0,8317,2832,5123,230,"1000000-2000000","0.0",11149,0.745986187101982,0.254013812898018
"evil genius",15915,"PC","2004","Strategy","Vivendi Games",0,0.01,0,0,0.02,3720,"2009-06-22",1,"Elixir Studios","Rebellion","windows",0,"Single-player","Strategy","Base-Building;Strategy;Villain Protagonist",0,1847,95,287,318,"200000-500000","6.99",1942,0.951081359423275,0.048918640576725
"exit",11383,"PSP","2005","Puzzle","Ubisoft",0.07,0,0,0.01,0.08,535000,"2016-12-16",1,"SIXNAILS","SIXNAILS","windows",0,"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud","Casual;Indie","Indie;Casual;Puzzle",39,26,2,0,0,"0-20000","5.99",28,0.928571428571429,0.0714285714285714
